City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,modasa,23.4667,73.3,28.28,25,0,2.21,IN,1732088707
82,enewetak,11.3474,162.3373,28.56,75,2,7.59,MH,1732088707
83,la junta,37.985,-103.5438,-5.84,79,0,4.63,US,1732088707
84,grande-synthe,51.0154,2.2998,4.99,81,55,8.27,FR,1732088587
85,el calafate,-50.3408,-72.2768,7.41,67,100,1.7,AR,1732088707
86,marsh harbour,26.5412,-77.0636,23.47,64,100,3.67,BS,1732088707
87,uturoa,-16.7333,-151.4333,25.77,72,21,8.41,PF,1732088707
88,papatowai,-46.5619,169.4708,7.84,90,100,6.61,NZ,1732088707
89,xilin hot,43.9667,116.0333,0.54,37,6,4.68,CN,1732088708
90,fortuna,40.5982,-124.1573,9.19,95,100,12.35,US,1732088708
91,chonchi,-42.6128,-73.8092,10.07,99,100,0.44,CL,1732088708
92,hermanus,-34.4187,19.2345,23.15,64,2,5.83,ZA,1732088708
93,laojunmiao,39.8333,97.7333,4.52,26,0,2.17,CN,1732088708
94,yellowknife,62.456,-114.3525,-21.36,77,0,5.14,CA,1732088708
95,port elizabeth,-33.918,25.5701,20.16,99,100,5.14,ZA,1732088708
96,fada,9.5667,8.3,25.2,23,94,3.56,NG,1732088709
97,chandler,33.3062,-111.8412,13.72,41,29,0.45,US,1732088709
98,birao,10.2849,22.7882,28.52,13,29,5.5,CF,1732088709
99,pisco,-13.7,-76.2167,19.03,82,100,3.09,PE,1732088709
100,luderitz,-26.6481,15.1594,18.84,71,47,3.65,NA,1732088709
101,tvoroyri,61.5556,-6.8111,3.62,51,100,15.13,FO,1732088709
102,daokou,35.5639,114.5058,15.15,40,0,1.28,CN,1732088709
103,san pedro pochutla,15.7333,-96.4667,24.84,90,100,1.62,MX,1732088709
104,puerto ayora,-0.7393,-90.3518,19.19,91,4,1.6,EC,1732088709
105,sandnessjoen,66.0217,12.6316,-0.88,69,20,5.66,NO,1732088710
106,avarua,-21.2078,-159.775,23.03,73,75,5.14,CK,1732088710
107,taroa,8.7058,171.2275,28.24,77,68,5.98,MH,1732088710
108,la passe,45.5549,-0.8967,8.88,76,100,4.27,FR,1732088710
109,iskateley,67.6803,53.1512,-19.64,94,36,2.74,RU,1732088710
110,chardara,41.2547,67.9692,10.71,54,77,2.1,KZ,1732088710
111,saint-pierre,-21.3393,55.4781,28.82,65,0,13.89,RE,1732088710
112,vila franca do campo,37.7167,-25.4333,18.27,99,75,2.41,PT,1732088710
113,college,64.8569,-147.8028,-18.64,78,75,0.0,US,1732088710
114,shahrak,34.1074,64.3052,11.98,37,56,3.59,AF,1732088711
115,tazovsky,67.4667,78.7,-18.2,96,100,3.18,RU,1732088711
116,bengkulu,-3.8004,102.2655,29.14,72,100,3.12,ID,1732088627
