City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,peterhead,57.5058,-1.7981,4.69,77,100,10.08,GB,1701066630
84,amahai,-3.3333,128.9167,27.85,80,100,1.99,ID,1701066630
85,luderitz,-26.6481,15.1594,28.04,39,0,6.9,NA,1701066630
86,ilulissat,69.2167,-51.1,-1.99,100,100,0.0,GL,1701066630
87,placer,39.0666,-120.7677,4.9,71,0,3.39,US,1701066630
88,puerto natales,-51.7236,-72.4875,1.8,92,98,1.73,CL,1701066630
89,constantia,44.1833,28.65,-3.5,86,89,8.01,RO,1701066519
90,ad dilam,23.9915,47.1627,28.23,27,11,3.13,SA,1701066631
91,san antonio de pale,-1.4014,5.6325,26.28,82,100,1.46,GQ,1701066631
92,homer,59.6425,-151.5483,4.93,93,100,2.68,US,1701066631
93,nar'yan-mar,67.6713,53.087,-23.71,100,47,2.42,RU,1701066631
94,saipan,15.1355,145.701,29.39,70,40,9.26,MP,1701066631
95,viedma,-40.8135,-62.9967,13.21,54,100,7.78,AR,1701066526
96,vorgashor,67.5833,63.95,-21.51,100,29,2.1,RU,1701066631
97,nemuro,43.3236,145.575,3.5,59,88,3.04,JP,1701066632
98,selebi-phikwe,-21.979,27.8498,30.75,25,0,5.48,BW,1701066632
99,susuman,62.7833,148.1667,-20.9,99,100,1.72,RU,1701066632
100,kusatsu,35.0167,135.9667,13.38,74,98,1.64,JP,1701066632
101,afaahiti,-17.75,-149.2833,24.93,81,100,9.44,PF,1701066632
102,newnham,-41.3833,147.1333,16.53,55,100,1.54,AU,1701066632
103,fale old settlement,-9.3852,-171.2468,29.85,77,78,7.67,TK,1701066632
104,alo,7.4178,6.7371,25.58,82,66,0.27,NG,1701066633
105,boerne,29.7947,-98.732,8.5,65,100,2.06,US,1701066633
106,sola,-13.8833,167.55,28.37,84,100,0.0,VU,1701066633
107,yantarnyy,54.8717,19.9381,-9.08,75,81,0.65,RU,1701066633
108,bardai,11.65,7.2333,23.55,69,41,3.05,NG,1701066633
109,dryden,49.7833,-92.7503,-15.84,78,40,4.12,CA,1701066633
110,natal,-5.795,-35.2094,25.36,83,75,4.63,BR,1701066215
111,flin flon,54.7682,-101.865,-18.91,97,23,1.92,CA,1701066634
112,dabhol,17.6,73.1667,30.2,53,0,2.38,IN,1701066634
113,qaqortoq,60.7167,-46.0333,-10.63,88,25,3.48,GL,1701066634
114,longyearbyen,78.2186,15.6401,2.91,75,75,8.75,SJ,1701066634
115,coari,-4.085,-63.1414,22.62,96,100,0.29,BR,1701066634
116,ladispoli,41.9537,12.0735,10.03,68,99,3.51,IT,1701066595
117,cikarang,-6.2611,107.1528,33.45,62,96,2.95,ID,1701066634
118,port elizabeth,-33.918,25.5701,22.95,76,20,9.77,ZA,1701066354
119,pisco,-13.7,-76.2167,19.03,82,0,5.14,PE,1701066634
120,aljezur,37.3191,-8.8033,12.89,84,38,1.1,PT,1701066635
121,dazuocun,24.8862,118.9643,19.94,76,0,6.67,CN,1701066635
122,namie,37.4833,141.0,17.53,77,0,0.4,JP,1701066635
123,fort bragg,35.139,-79.006,8.91,93,100,5.14,US,1701066635
124,pandan,14.0453,124.1694,28.64,75,85,3.71,PH,1701066635
125,pathein,16.7833,94.7333,29.96,56,99,5.38,MM,1701066635
126,fortuna,40.5982,-124.1573,4.08,100,0,5.66,US,1701066635
127,tual,-5.6667,132.75,28.13,74,37,2.57,ID,1701066636
128,sydney,-33.8679,151.2073,25.73,74,75,7.2,AU,1701066137
129,katsuura,35.1333,140.3,17.01,65,36,6.37,JP,1701066636
130,ola,59.5833,151.2833,-17.48,75,97,5.55,RU,1701066636
131,muravlenko,63.7898,74.523,-13.03,94,100,2.63,RU,1701066636
132,nakonde,-9.3421,32.745,23.28,59,100,0.77,ZM,1701066636
133,al bardiyah,31.7561,25.0865,16.76,46,93,7.48,LY,1701066636
134,todos santos,23.45,-110.2167,22.47,75,98,1.96,MX,1701066637
135,bantogon,6.5333,124.0333,28.14,76,15,1.04,PH,1701066637
136,mersa matruh,31.3525,27.2453,17.59,55,88,9.18,EG,1701066637
137,uturoa,-16.7333,-151.4333,26.15,80,30,9.45,PF,1701066637
138,carauari,-4.8828,-66.8958,22.37,83,99,0.86,BR,1701066637
139,uzgen,40.7699,73.3007,17.68,18,13,1.39,KG,1701066637
140,bubaque,11.2833,-15.8333,26.63,67,0,2.95,GW,1701066637
141,dudinka,69.4058,86.1778,-27.32,100,42,2.86,RU,1701066638
142,washington,47.5001,-120.5015,0.54,79,87,1.01,US,1701066477
143,port saint john's,-31.6229,29.5448,27.3,73,0,1.9,ZA,1701066638
144,sao felix do xingu,-6.6447,-51.995,21.39,97,85,0.76,BR,1701066638
145,vilyuchinsk,52.9306,158.4028,-5.04,78,28,4.39,RU,1701066638
146,port isabel,26.0734,-97.2086,15.02,66,100,6.17,US,1701066618
147,nuuk,64.1835,-51.7216,-0.66,74,100,7.2,GL,1701066432
148,alice springs,-23.7,133.8833,33.75,20,1,3.6,AU,1701066638
149,fort st. john,56.2499,-120.8529,-1.06,80,75,4.12,CA,1701066638
150,taltal,-25.4,-70.4833,15.71,85,47,0.35,CL,1701066639
151,lebu,-37.6167,-73.65,11.88,95,1,2.54,CL,1701066639
152,corinto,37.9407,22.9573,9.5,51,78,3.41,GR,1701066639
153,jawf al maqbabah,13.8378,45.8349,26.32,34,67,2.26,YE,1701066639
154,buala,-8.145,159.5921,27.73,82,100,1.68,SB,1701066640
155,naze,28.3667,129.4833,20.51,72,83,5.13,JP,1701066640
156,khandyga,62.6667,135.6,-33.13,98,94,0.71,RU,1701066640
157,bol,13.4586,14.7147,26.33,40,6,7.72,TD,1701066640
158,essaouira,31.5125,-9.77,9.72,66,78,1.54,MA,1701066394
159,yunguyo,-16.25,-69.0833,6.96,81,100,1.31,PE,1701066640
160,saudarkrokur,65.7461,-19.6394,2.45,88,100,4.99,IS,1701066641
161,valparaiso,-33.0393,-71.6273,13.8,94,100,2.06,CL,1701066602
162,nguigmi,14.2495,13.1092,26.89,25,15,6.11,NE,1701066641
163,anadyr,64.75,177.4833,2.28,87,75,14.0,RU,1701066641
164,katsuren-haebaru,26.3369,127.8719,24.21,75,75,6.17,JP,1701066641
165,san pedro pochutla,15.7333,-96.4667,23.48,86,97,1.38,MX,1701066641
166,lae,-6.7221,146.9847,32.37,74,41,3.72,PG,1701066642
167,wynyard,-41.0,145.7167,12.67,78,100,0.99,AU,1701066642
168,palu,-0.8917,119.8707,27.66,92,91,1.73,ID,1701066642
169,wewak,-3.5534,143.6268,28.68,75,99,2.79,PG,1701066642
170,dili,-8.5586,125.5736,29.1,73,100,1.84,TL,1701066642
171,itaparica,-12.8883,-38.6786,24.96,74,58,1.52,BR,1701066642
172,tsarevo,42.1667,27.85,2.33,63,2,7.08,BG,1701066642
173,badger,64.8,-147.5333,-5.36,89,100,2.06,US,1701066643
174,sandur,15.1,76.55,29.03,51,29,5.63,IN,1701066643
175,vigan,17.5747,120.3869,30.52,76,22,2.78,PH,1701066643
176,rawson,-43.3002,-65.1023,12.82,59,100,7.52,AR,1701066643
177,victoria point,-27.5833,153.3,27.17,73,100,1.79,AU,1701066643
178,cidreira,-30.1811,-50.2056,20.09,92,100,6.22,BR,1701066643
179,dzuunmod,48.2199,97.3744,-5.67,83,21,2.84,MN,1701066643
180,akropong,5.9746,-0.0854,21.53,92,100,1.18,GH,1701066644
181,kalmunai,7.4167,81.8167,28.18,79,96,4.34,LK,1701066644
182,chibougamau,49.9168,-74.3659,-3.21,93,100,4.63,CA,1701066644
183,gonda city,27.1333,81.9333,24.02,44,100,2.69,IN,1701066644
184,tuttle,35.2909,-97.8123,-0.34,90,8,2.81,US,1701066644
185,olonkinbyen,70.9221,-8.7187,1.47,87,100,8.43,SJ,1701066529
186,guerrero negro,27.9769,-114.0611,18.28,56,100,1.07,MX,1701066644
187,tanjung pandan,-2.75,107.65,26.4,85,100,2.74,ID,1701066645
188,atherton,53.5237,-2.4935,7.42,97,100,3.02,GB,1701066645
189,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,63,20,7.15,RU,1701066645
190,colac,-38.3333,143.5833,16.76,54,21,3.9,AU,1701066645
191,parauapebas,-6.0675,-49.9022,22.12,98,95,1.21,BR,1701066645
192,twentynine palms,34.1356,-116.0542,11.09,36,100,1.79,US,1701066646
193,crane,31.3974,-102.3501,5.84,38,79,3.62,US,1701066646
194,north bend,43.4065,-124.2243,4.92,87,0,3.6,US,1701066646
